"﻿""SYMBOL",COMPANY NAME,SUBJECT,DETAILS,BROADCAST DATE/TIME,RECEIPT,DISSEMINATION,DIFFERENCE,"ATTACHMENT"""
FEDERALBNK,The Federal Bank  Limited,Analysts/Institutional Investor Meet/Con. Call Updates,The Federal Bank  Limited has informed the Exchange about Transcript,21-Oct-2023 14:45:13,2023-10-21 14:45:13,21-Oct-2023 14:45:25,00:00:12,https://nsearchives.nseindia.com/corporate/FEDERALBNK_21102023144513_SignedSEIntimationTranscript.pdf
CANFINHOME,Can Fin Homes Limited,Analysts/Institutional Investor Meet/Con. Call Updates,Can Fin Homes Limited has informed the Exchange about Transcript,21-Oct-2023 14:44:29,2023-10-21 14:44:29,21-Oct-2023 14:44:42,00:00:13,https://nsearchives.nseindia.com/corporate/CANFINHOME_21102023144430_CANFINHOMETRANSCRIPT21102023SD.pdf
SIYSIL,Siyaram Silk Mills Limited,Closure of Buy Back,"Siyaram Silk Mills Limited has informed the Exchange regarding Closure of Buy Back with effect from October 19, 2023",21-Oct-2023 14:42:13,2023-10-21 14:42:13,21-Oct-2023 14:42:32,00:00:19,https://nsearchives.nseindia.com/corporate/SIYSIL_21102023144213_ExtinguishmentSubmissiontoSE.pdf
PAKKA,PAKKA LIMITED,Outcome of Board Meeting,"PAKKA LIMITED has informed the Exchange regarding  Board meeting held on October 21, 2023.",21-Oct-2023 14:41:47,2023-10-21 14:41:47,21-Oct-2023 14:42:00,00:00:13,https://nsearchives.nseindia.com/corporate/PAKKA_21102023144147_OUTCOME_OF_BOARD_MEETING.pdf
ACI,Archean Chemical Industries Limited,Board Meeting Intimation,ARCHEAN CHEMICAL INDUSTRIES LIMITED has informed the Exchange about Board Meeting to be held on 31-Oct-2023 to inter-alia consider and approve the Unaudited Financial results of the Company for the Half Yearly ended September 2023 .,21-Oct-2023 14:40:23,2023-10-21 14:40:23,21-Oct-2023 14:40:33,00:00:10,https://nsearchives.nseindia.com/corporate/xbrl/ACI_21102023144023_PRIOR_INTIMATION_12159_965047_21102023024022_WEB.xml
RBLBANK,RBL Bank Limited,Financial Result Updates,"RBL Bank Limited has submitted to the Exchange, the financial results for the period ended September 30, 2023.",21-Oct-2023 14:35:51,2023-10-21 14:35:51,21-Oct-2023 14:36:00,00:00:09,https://nsearchives.nseindia.com/corporate/BoardMeetingOutcomeQ2FY2324October212023signed_21102023143551.pdf
PLASTIBLEN,Plastiblends India Limited,Loss of Share Certificates,Plastiblends India Limited has informed the Exchange about Loss of Share Certificates,21-Oct-2023 14:29:09,2023-10-21 14:29:09,21-Oct-2023 14:29:25,00:00:16,https://nsearchives.nseindia.com/corporate/PLASTIBLEN_21102023142909_LOS21102023.pdf
MODTHREAD,Modern Thread Limited,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Modern Thread Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended 30th September, 2023",21-Oct-2023 14:27:27,2023-10-21 14:27:27,21-Oct-2023 14:27:41,00:00:14,https://nsearchives.nseindia.com/corporate/MODTHREAD_21102023142727_ComplianceCertificateRegulation745sw.pdf
IDBI,IDBI Bank Limited,Press Release,"IDBI Bank Limited has informed the Exchange regarding a press release dated October 21, 2023, titled IDBI Bank Limited - Financial Resultsfor the quarter and half year ended September 30, 2023.",21-Oct-2023 14:27:14,2023-10-21 14:27:14,21-Oct-2023 14:27:28,00:00:14,https://nsearchives.nseindia.com/corporate/IDBI_21102023142714_SE_Press_Release_30092023.PDF
EUROTEXIND,Eurotex Industries and Exports Limited,Quarterly Compliance Report on Corporate governance - within 21 days from the end of the quarter,Eurotex Industries and Exports Limited has informed regarding Submission of the Compliance Report on Corporate Governance for the Q2 FY 2023-24,21-Oct-2023 14:26:46,2023-10-21 14:26:46,21-Oct-2023 14:27:05,00:00:19,https://nsearchives.nseindia.com/corporate/EUROTEXIND_21102023142646_CG.pdf
CANTABIL,Cantabil Retail India Limited,Record Date,Cantabil Retail India Limited has informed the Exchange that Record date for the purpose of Split/Subdivision  is 02-Nov-2023.,21-Oct-2023 14:26:40,2023-10-21 14:26:40,21-Oct-2023 14:26:52,00:00:12,https://nsearchives.nseindia.com/corporate/CANTABIL_21102023142640_OutcomeRecorddate.pdf
CANTABIL,Cantabil Retail India Limited,Stock split,"Cantabil Retail India Limited has informed the Exchange that the Board of Directors at its meeting held on October 21, 2023, has considered and approved subdivision of 1 equity shares of Rs. 10 each into 81638040 equity shares of Rs. 2 each.",21-Oct-2023 14:25:50,2023-10-21 14:25:50,21-Oct-2023 14:26:05,00:00:15,https://nsearchives.nseindia.com/corporate/CANTABIL_21102023142550_OutcomeRecorddate.pdf
