"﻿""SYMBOL",COMPANY NAME,SUBJECT,DETAILS,BROADCAST DATE/TIME,RECEIPT,DISSEMINATION,DIFFERENCE,"ATTACHMENT"""
KOTAKBANK,Kotak Mahindra Bank Limited,Updates,"Pursuant to Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 (Listing Regulations), we wish to inform you that, based on our application made to the Reserve Bank of India ( RBI ) for its approval of the new Managing Director & CEO of the Bank on July 19, 2023, the RBI has, vide its letter dated October 20, 2023 (received by the Bank on October 20, 2023), approved the appointment of Mr. Ashok Vaswani as the Managing Director & CEO of the Bank under Section 35B of the Banking Regulation Act, 2013, for a period of three years, with effect from the date of taking charge, which shall not be later than January 1, 2024.A brief profile of Mr. Ashok Vaswani is enclosed herewith as an Annexure. Also attached is the media release being issued by the Bank in this connection.",21-Oct-2023 15:04:36,2023-10-21 15:04:36,21-Oct-2023 15:04:47,00:00:11,https://nsearchives.nseindia.com/corporate/KOTAKBANK_21102023150436_SEletterMDCEO21102023.pdf
CENTURYTEX,Century Textiles & Industries Limited,Copy of Newspaper Publication,Century Textiles & Industries Limited has informed the Exchange about Copy of Newspaper Publication,21-Oct-2023 15:03:17,2023-10-21 15:03:17,21-Oct-2023 15:03:33,00:00:16,https://nsearchives.nseindia.com/corporate/CENTURYTEX_21102023150317_FinalExtractNewspaper20102023.pdf
SYMPHONY,Symphony Limited,Updates,Symphony Limited has informed the Exchange regarding 'Investor Relations Policy of the Company'.,21-Oct-2023 14:59:32,2023-10-21 14:59:32,21-Oct-2023 14:59:45,00:00:13,https://nsearchives.nseindia.com/corporate/SYMPHONY_21102023145932_Investor_Relations_Policy_21_10_2023.pdf
ROSSARI,Rossari Biotech Limited,Financial Result Updates,"Rossari Biotech Limited has submitted to the Exchange, the financial results for the period ended September 30, 2023.",21-Oct-2023 14:59:07,2023-10-21 14:59:07,21-Oct-2023 14:59:16,00:00:09,https://nsearchives.nseindia.com/corporate/Outcome_of_Board_Meeting_21102023_21102023145907.pdf
ROSSARI,Rossari Biotech Limited,Outcome of Board Meeting,"Rossari Biotech Limited has informed the Exchange regarding  Board meeting held on October 21, 2023.",21-Oct-2023 14:57:41,2023-10-21 14:57:41,21-Oct-2023 14:57:54,00:00:13,https://nsearchives.nseindia.com/corporate/ROSSARI_21102023145741_Outcome_of_Board_Meeting_21102023.pdf
SERVOTECH,Servotech Power Systems Limited,Board Meeting Intimation,SERVOTECH POWER SYSTEMS LIMITED has informed the Exchange about Board Meeting to be held on 30-Oct-2023 to inter-alia consider and approve the Unaudited Financial results of the Company for the Half Yearly ended September 2023 .,21-Oct-2023 14:55:47,2023-10-21 14:55:47,21-Oct-2023 14:56:01,00:00:14,https://nsearchives.nseindia.com/corporate/xbrl/SERVOTECH_21102023145547_PRIOR_INTIMATION_12161_965093_21102023025546_WEB.xml
SOMANYCERA,Somany Ceramics Limited,Board Meeting Intimation,SOMANY CERAMICS LIMITED has informed the Exchange about Board Meeting to be held on 26-Oct-2023 to consider Buyback.,21-Oct-2023 14:55:33,2023-10-21 14:55:33,21-Oct-2023 14:55:48,00:00:15,https://nsearchives.nseindia.com/corporate/xbrl/SOMANYCERA_21102023145533_PRIOR_INTIMATION_12160_965091_21102023025533_WEB.xml
ICRA,ICRA Limited,Investor Presentation,ICRA Limited has informed the Exchange about Investor Presentation,21-Oct-2023 14:52:51,2023-10-21 14:52:51,21-Oct-2023 14:53:06,00:00:15,https://nsearchives.nseindia.com/corporate/ICRA_21102023145251_ICRAInvestorPresentation21102023.pdf
DATAPATTNS,Data Patterns (India) Limited,Credit Rating,Data Patterns (India) Limited has informed the Exchange about Credit Rating,21-Oct-2023 14:50:03,2023-10-21 14:50:03,21-Oct-2023 14:50:16,00:00:13,https://nsearchives.nseindia.com/corporate/DATAPATTNS_21102023145003_IntimationofCreditRating21Oct2023.pdf
PAKKA,PAKKA LIMITED,Financial Result Updates,"PAKKA LIMITED has submitted to the Exchange, the financial results for the period ended September 30, 2023.",21-Oct-2023 14:45:26,2023-10-21 14:45:26,21-Oct-2023 14:45:37,00:00:11,https://nsearchives.nseindia.com/corporate/OUTCOME_OF_BOARD_MEETING_21102023144526.pdf
